"term","Estimate","Std. Error","t value","Pr(>|t|)","lower_ci","upper_ci","field","stars","model"
"coa_online_all_total_l",0.0073615646107533,0.00271856370898675,2.70788747249814,0.00677748946055972,0.00203293073181079,0.0126901984896958,"medicine","*","Online news attention"
"coa_twitter_total_l",-0.000164881084859869,0.000334357194725789,-0.493128568670671,0.621927570434591,-0.000820251812275366,0.000490489642555627,"medicine","","Online news attention"
"as.factor(year)2014",-0.398535638851329,0.390811243488279,-1.01976502849331,0.307853182541873,-1.16456147280152,0.367490195098858,"medicine","","Online news attention"
"as.factor(year)2015",-0.108476463578146,0.374336023540775,-0.289783661620615,0.771984979667175,-0.842209357368393,0.6252564302121,"medicine","","Online news attention"
"as.factor(year)2016",8.84268576641178,1.02060791038425,8.66413602759812,4.91648395729895e-18,6.84220077854398,10.8431707542796,"medicine","***","Online news attention"
"as.factor(year)2017",2.93093516555291,0.936408288809376,3.12997567469157,0.00175091338958158,1.09548914831317,4.76638118279265,"medicine","*","Online news attention"
"as.factor(year)2018",0.70013718551995,1.12142759372367,0.624326697005163,0.532420715696282,-1.49796361636421,2.89823798740411,"medicine","","Online news attention"
"as.factor(year)2019",-2.26641570838515,1.04812133706998,-2.16236005148117,0.0306031463688564,-4.32082953267446,-0.212001884095844,"medicine","*","Online news attention"
"as.factor(year)2020",2.23931468630551,1.6145000631717,1.38700191928538,0.165457805979138,-0.925253319120422,5.40388269173144,"medicine","","Online news attention"
"as.factor(year)2021",-1.85232897211771,1.46809226103361,-1.26172517986954,0.207063522846605,-4.72992427499649,1.02526633076107,"medicine","","Online news attention"
"as.factor(year)2022",7.47531276239481,1.68507871012061,4.43618017217709,9.20948489147356e-06,4.17240414423331,10.7782213805563,"medicine","***","Online news attention"
"as.factor(year)2023",1.32073758002602,1.56125722429881,0.845944895863775,0.397594373127106,-1.73946958438254,4.38094474443459,"medicine","","Online news attention"
"R^2",0.346,0.346,0.346,0.346,0.346,0.346,"medicine","","Online news attention"
"(Intercept)",0.177094538419269,0.214377793449384,0.826086207763313,0.408873901556373,-0.243384798343178,0.597573875181715,"arts","","Online news attention"
"alt_online_all_l",0.269790903305051,0.145695846491835,1.85174052521923,0.064240556441402,-0.0159760687129462,0.555557875323048,"arts",".","Online news attention"
"cited_by_total_all_l",0.000772141871059295,0.00050743893284326,1.52164491347336,0.128288530968162,-0.000223145852059075,0.00176742959417767,"arts","","Online news attention"
"inferred_genderw",-0.247439087045337,0.325577918953327,-0.759999596535318,0.447362746833962,-0.886025692603974,0.3911475185133,"arts","","Online news attention"
"news_all_total_l",-0.000393781606827283,0.00153404267885116,-0.256695339872934,0.797445779058179,-0.00340264384852639,0.00261508063487182,"arts","","Online news attention"
"alt_twitter_total_l",0.0160050330655532,0.0117858194627835,1.35799068669708,0.174651185087398,-0.00711160355606231,0.0391216696871686,"arts","","Online news attention"
