profile_id,hits_identified
PRS1240737,41
PRS1240745,23
PRS1240747,82
PRS1240749,107
PRS1240751,448
PRS1240753,26
PRS1240754,146
PRS1240755,27
PRS1240756,4
PRS1240759,60
PRS1240760,15
PRS1240761,29
PRS1240762,196
PRS1240764,61
PRS1240769,7
PRS1240770,0
PRS1240778,128
PRS1240787,1
PRS1240791,113
PRS1240794,7
PRS1240797,33
PRS1240799,89
PRS1240801,47
PRS1240808,76
PRS1240813,225
PRS1240816,13
PRS1240819,23
PRS1240823,502
PRS1240824,60
PRS1240826,37
PRS1240840,292
PRS1240842,58
PRS1240843,278
PRS1240851,95
PRS1240859,6
PRS1240860,269
PRS1240863,90
PRS1240864,32
PRS1240872,6
PRS1240874,27
PRS1240876,2
PRS1240877,17
PRS1240878,9
PRS1240888,78
PRS1240894,123
PRS1240895,30
PRS1240903,397
PRS1240904,728
PRS1240907,2
PRS1240909,16
PRS1240910,75
PRS1240913,0
PRS1240914,26
PRS1240917,74
PRS1240922,59
PRS1240924,6
PRS1240926,114
PRS1240932,20
PRS1240935,39
PRS1240936,190
PRS1240937,13
PRS1240939,44
PRS1240947,6
PRS1240951,188
PRS1240955,189
PRS1240956,6
PRS1240959,54
PRS1240964,36
PRS1240967,19
PRS1240969,1246
PRS1240973,448
PRS1240983,7
PRS1240990,1015
PRS1240992,1
PRS1240995,49
PRS1240996,96
PRS1240999,1
PRS1241001,8
PRS1241009,40
PRS1241015,55
PRS1241021,36
PRS1241025,64
PRS1241034,14
PRS1241035,43
PRS1241037,11
PRS1241065,55
PRS1241068,3
PRS1241069,23
PRS1241079,6
PRS1241083,14
PRS1241091,13
PRS1241102,153
PRS1241113,447
PRS1241126,238
PRS1241127,68
PRS1241135,101
PRS1241147,15
PRS1241153,18
PRS1241160,27
PRS1241165,45
PRS1241167,349
PRS1241170,54
PRS1241175,191
PRS1241178,15
PRS1241183,15
PRS1241185,6
PRS1241186,50
PRS1241187,294
PRS1241190,77
PRS1241192,61
PRS1241199,10
PRS1241201,9
PRS1241202,166
PRS1241207,11
PRS1241216,38
PRS1241218,217
PRS1241220,66
PRS1241223,50
PRS1241230,80
PRS1241232,98
PRS1241238,131
PRS1241239,337
PRS1241247,919
PRS1241251,127
PRS1241253,13
PRS1241264,611
PRS1241266,68
PRS1241267,361
PRS1241287,131
PRS1241290,245
PRS1241291,34
PRS1241306,1
PRS1241307,36
PRS1241321,230
PRS1241323,113
PRS1241324,68
PRS1241325,575
PRS1241328,45
PRS1241330,0
PRS1241333,38
PRS1241336,29
PRS1241338,38
PRS1241358,465
PRS1241360,35
PRS1241361,27
PRS1241367,44
PRS1241370,2
PRS1241381,29
PRS1241383,31
PRS1241384,6
PRS1241385,4
PRS1241388,532
PRS1241389,12
PRS1241390,12
PRS1241395,11
PRS1241404,5
PRS1241412,1
PRS1241413,9
PRS1241419,91
PRS1241431,89
PRS1241432,78
PRS1241434,3
PRS1241448,124
PRS1241450,55
PRS1241462,33
PRS1241467,24
PRS1241473,12
PRS1241474,38
PRS1241475,33
PRS1241481,778
PRS1241495,119
PRS1241496,21
PRS1241501,71
PRS1241505,64
PRS1241534,77
PRS1241536,2
PRS1241539,115
PRS1241543,20
PRS1241553,29
PRS1241555,3
PRS1241562,0
PRS1241565,48
PRS1241582,38
PRS1241591,34
PRS1241594,172
PRS1241596,6
PRS1241601,70
PRS1241603,248
PRS1241611,12
PRS1241619,3
PRS1241623,30
PRS1241646,290
PRS1241652,64
PRS1241653,6
PRS1241660,2
PRS1241662,70
PRS1241665,551
PRS1241669,130
PRS1241670,43
PRS1241683,11
PRS1241685,368
PRS1241688,9
PRS1241689,11
PRS1241693,5
PRS1241710,90
PRS1241719,26
PRS1241720,51
PRS1241721,175
PRS1241722,33
PRS1241728,258
PRS1241740,235
PRS1241744,29
PRS1241746,128
PRS1241750,51
PRS1241758,206
PRS1241759,27
PRS1241760,412
