"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"(Intercept)",-1.84060647017806,0.0703546470730698,-26.1618321852488,7.22876883704429e-151,-1.9784990445863,-1.70271389576981,"soc_sci","***","Online news attention"
"cited_by_total_all_l",0.000277078922095108,9.41932892564683e-06,29.4159938868555,3.42923517991073e-190,0.000258617376642304,0.000295540467547913,"soc_sci","***","Online news attention"
"inferred_genderw",0.267345340394469,0.0519624798417647,5.14496885461558,2.67565198177006e-07,0.165500751357222,0.369189929431716,"soc_sci","***","Online news attention"
"news_all_total_l",0.000336535365349233,0.000176728250531073,1.90425336265105,0.0568771949472297,-9.84564074244193e-06,0.000682916371440909,"soc_sci",".","Online news attention"
"alt_twitter_total_l",0.00201376649456943,0.000129033636612802,15.6065235967288,6.57218254998332e-55,0.00176086521401411,0.00226666777512475,"soc_sci","***","Online news attention"
"coa_tot_cited_by_total_l",4.44875539501075e-06,8.70236330909187e-07,5.11212326697838,3.18557838318147e-07,2.74312352839046e-06,6.15438726163103e-06,"soc_sci","***","Online news attention"
"coa_online_all_total_l",0.00328055925643473,0.00038044350080832,8.6229867232969,6.52300208915242e-18,0.00253490369669809,0.00402621481617137,"soc_sci","***","Online news attention"
"coa_twitter_total_l",-5.70082038017938e-05,5.07937321885062e-05,-1.12234721382993,0.261714838906847,-0.000156562089531639,4.25456819280512e-05,"soc_sci","","Online news attention"
"as.factor(year)2014",-0.482765215653691,0.0994524336173726,-4.85423230075046,1.20854002513703e-06,-0.677688403718602,-0.28784202758878,"soc_sci","***","Online news attention"
"as.factor(year)2015",-0.426035005934244,0.0972634716895941,-4.38021590771393,1.18561774956738e-05,-0.616667907457179,-0.235402104411308,"soc_sci","***","Online news attention"
"as.factor(year)2016",-0.597997025342325,0.0991033426763865,-6.0340752308934,1.59875575043487e-09,-0.792236007735573,-0.403758042949076,"soc_sci","***","Online news attention"
"as.factor(year)2017",-0.83932184096345,0.102902694186322,-8.15646128218688,3.44983028651213e-16,-1.04100741548078,-0.63763626644612,"soc_sci","***","Online news attention"
"as.factor(year)2018",-1.06298063138851,0.10607866079738,-10.0206829856091,1.23645520070486e-23,-1.27089098607961,-0.8550702766974,"soc_sci","***","Online news attention"
"as.factor(year)2019",-1.14478226733048,0.107717813960925,-10.6276039703679,2.21736011338579e-26,-1.35590530318728,-0.933659231473681,"soc_sci","***","Online news attention"
"as.factor(year)2020",-1.44134037567452,0.113411202985829,-12.7089770474847,5.27195605557636e-37,-1.66362224897011,-1.21905850237894,"soc_sci","***","Online news attention"
"as.factor(year)2021",-1.87027055619445,0.124814626097239,-14.9843861627033,9.28797114956623e-51,-2.11490272808887,-1.62563838430003,"soc_sci","***","Online news attention"
"as.factor(year)2022",-2.15982680711984,0.133122716098228,-16.2243294790212,3.39403718690686e-59,-2.42074253619652,-1.89891107804316,"soc_sci","***","Online news attention"
"as.factor(year)2023",-2.45760723108744,0.141982069112126,-17.3092788861008,4.00398106475382e-67,-2.73588697299769,-2.1793274891772,"soc_sci","***","Online news attention"
"R^2",0.232,0.232,0.232,0.232,0.232,0.232,"soc_sci","","Online news attention"
"(Intercept)",-2.27298213501564,0.0807911611686276,-28.1340446422285,3.75670050784445e-174,-2.43132990117533,-2.11463436885596,"medicine","***","Online news attention"
