"term","Estimate","Std. Error","z value","Pr(>|z|)","lower_ci","upper_ci","field","stars","model"
"alt_online_all_total_l",-0.000147755576224348,0.0103279884961865,-0.0143063265687122,0.988585592276684,-0.0203902410614939,0.0200947299090452,"arts","","News attention"
"alt_twitter_total_l",-0.00251412556809699,0.00423507129939511,-0.593644212898158,0.552750103013428,-0.0108147127868707,0.00578646165067667,"arts","","News attention"
"coa_tot_cited_by_total_l",8.27309855705088e-06,3.75801773729696e-06,2.20145276988541,0.0277039867626874,9.07519138686142e-07,1.56386779754156e-05,"arts","*","News attention"
"coa_online_all_total_l",-0.0628702352447231,0.0246861273208409,-2.5467840470727,0.0108720690437833,-0.111254155711341,-0.0144863147781048,"arts","*","News attention"
"coa_twitter_total_l",0.00248445975564508,0.0015870687754498,1.56543925132731,0.11747995099805,-0.000626137885224602,0.00559505739651477,"arts","","News attention"
"as.factor(year)2014",0.616938194604846,0.555571538980604,1.1104568022632,0.266802232836873,-0.471962012632628,1.70583840184232,"arts","","News attention"
"as.factor(year)2015",0.383182966065102,0.55763734156685,0.687154423676927,0.491985421411083,-0.709766139840583,1.47613207197079,"arts","","News attention"
"as.factor(year)2016",0.547974463823832,0.533072945588211,1.02795399458732,0.303971468900106,-0.496829310661741,1.59277823830941,"arts","","News attention"
"as.factor(year)2017",0.727794000350692,0.524606167146828,1.38731499156584,0.165345733706049,-0.300415193324691,1.75600319402607,"arts","","News attention"
"as.factor(year)2018",0.631307477683751,0.545087857144016,1.1581756397794,0.24679236728223,-0.437045090728635,1.69966004609614,"arts","","News attention"
"as.factor(year)2019",0.619619594171891,0.540962209282645,1.14540273523644,0.252042365809322,-0.440646853019311,1.67988604136309,"arts","","News attention"
"as.factor(year)2020",-0.300532175957826,0.611897477405379,-0.491147924374796,0.623321827734239,-1.49982919390328,0.898764841987628,"arts","","News attention"
"as.factor(year)2021",0.0279849422418283,0.586781074222176,0.0476923054802414,0.96196146646368,-1.12208483004336,1.17805471452702,"arts","","News attention"
"as.factor(year)2022",0.248211476372623,0.601474612545275,0.412671576148925,0.679847252513228,-0.9306571018313,1.42708005457655,"arts","","News attention"
"as.factor(year)2023",0.0954957538264999,0.607700200997158,0.157142870234046,0.875132251707389,-1.09557475352568,1.28656626117868,"arts","","News attention"
"R^2",0.396,0.396,0.396,0.396,0.396,0.396,"arts","","News attention"
