id,year,count_pubs,cited_by,count_pubs_auth,cited_by_auth
https://openalex.org/A5001006551,2019,2,2,2,2
https://openalex.org/A5001006551,2020,6,4,6,8
https://openalex.org/A5001006551,2021,3,5,3,6
https://openalex.org/A5001006551,2022,2,3,2,3
https://openalex.org/A5001006551,2023,2,17,2,17
https://openalex.org/A5001047725,2014,1,45,1,49
https://openalex.org/A5001047725,2015,1,41,1,44
https://openalex.org/A5001047725,2016,1,46,1,49
https://openalex.org/A5001047725,2019,1,69,1,72
https://openalex.org/A5001047725,2020,1,74,1,76
https://openalex.org/A5001047725,2021,1,86,1,88
https://openalex.org/A5001047725,2022,1,86,1,91
https://openalex.org/A5001108149,2012,6,141,6,140
https://openalex.org/A5001108149,2013,10,170,10,170
https://openalex.org/A5001108149,2014,8,192,8,192
https://openalex.org/A5001108149,2015,11,209,11,213
https://openalex.org/A5001108149,2016,13,226,13,231
https://openalex.org/A5001108149,2017,12,262,13,266
https://openalex.org/A5001108149,2018,5,297,5,305
https://openalex.org/A5001108149,2019,3,400,3,413
https://openalex.org/A5001108149,2020,9,388,9,402
https://openalex.org/A5001108149,2021,9,501,9,525
https://openalex.org/A5001108149,2022,11,608,11,636
https://openalex.org/A5001108149,2023,8,515,8,531
https://openalex.org/A5001139499,2012,2,12,3,12
https://openalex.org/A5001139499,2013,5,13,5,13
https://openalex.org/A5001139499,2014,2,15,2,15
https://openalex.org/A5001139499,2015,1,19,1,19
https://openalex.org/A5001139499,2016,5,26,5,26
https://openalex.org/A5001139499,2017,7,23,8,23
https://openalex.org/A5001139499,2018,8,64,8,71
https://openalex.org/A5001139499,2019,2,84,2,98
https://openalex.org/A5001139499,2020,10,97,10,107
https://openalex.org/A5001139499,2021,13,160,13,174
https://openalex.org/A5001139499,2022,6,238,6,263
https://openalex.org/A5001139499,2023,9,304,9,334
https://openalex.org/A5001239700,2012,7,270,8,289
https://openalex.org/A5001239700,2013,11,422,11,450
https://openalex.org/A5001239700,2014,32,519,32,548
https://openalex.org/A5001239700,2015,6,491,9,515
https://openalex.org/A5001239700,2016,4,510,5,544
https://openalex.org/A5001239700,2017,5,506,5,523
https://openalex.org/A5001239700,2018,5,647,5,673
https://openalex.org/A5001239700,2019,3,728,3,762
https://openalex.org/A5001239700,2020,2,759,2,785
https://openalex.org/A5001239700,2021,3,884,3,954
https://openalex.org/A5001239700,2023,1,929,1,1078
https://openalex.org/A5001257808,2012,5,159,5,179
https://openalex.org/A5001257808,2013,5,187,5,208
https://openalex.org/A5001257808,2014,17,202,18,226
https://openalex.org/A5001257808,2015,3,292,3,324
https://openalex.org/A5001257808,2016,8,282,8,303
https://openalex.org/A5001257808,2017,1,319,1,358
https://openalex.org/A5001257808,2018,15,336,15,375
https://openalex.org/A5001257808,2019,7,381,7,418
https://openalex.org/A5001257808,2020,7,419,7,470
https://openalex.org/A5001257808,2021,9,481,9,509
https://openalex.org/A5001257808,2022,9,578,9,621
https://openalex.org/A5001257808,2023,5,402,5,440
https://openalex.org/A5001362011,2012,9,83,9,85
https://openalex.org/A5001362011,2013,8,80,8,81
https://openalex.org/A5001362011,2014,9,72,9,74
https://openalex.org/A5001362011,2015,7,82,7,82
https://openalex.org/A5001362011,2016,11,71,11,71
https://openalex.org/A5001362011,2017,4,76,4,76
https://openalex.org/A5001362011,2018,1,95,1,95
https://openalex.org/A5001362011,2019,4,101,4,102
https://openalex.org/A5001362011,2020,9,132,9,132
https://openalex.org/A5001362011,2021,1,147,1,148
https://openalex.org/A5001362011,2023,2,93,2,93
https://openalex.org/A5001404405,2012,14,2006,14,2396
https://openalex.org/A5001404405,2013,21,2132,21,2614
https://openalex.org/A5001404405,2014,15,2082,15,2789
https://openalex.org/A5001404405,2015,20,1947,20,2704
https://openalex.org/A5001404405,2016,17,2037,17,2803
https://openalex.org/A5001404405,2017,13,1846,13,2558
https://openalex.org/A5001404405,2018,19,1784,19,2323
https://openalex.org/A5001404405,2019,16,1886,16,2505
https://openalex.org/A5001404405,2020,31,2047,31,2750
https://openalex.org/A5001404405,2021,11,2218,11,3082
https://openalex.org/A5001404405,2022,11,2222,11,2970
https://openalex.org/A5001404405,2023,17,1977,17,2673
https://openalex.org/A5001418639,2012,3,30,3,30
https://openalex.org/A5001418639,2013,7,28,7,28
https://openalex.org/A5001418639,2014,4,34,4,34
https://openalex.org/A5001418639,2015,4,24,4,24
https://openalex.org/A5001418639,2016,2,38,2,38
https://openalex.org/A5001418639,2017,1,27,1,27
https://openalex.org/A5001418639,2018,3,32,6,32
https://openalex.org/A5001418639,2019,2,39,2,39
https://openalex.org/A5001424870,2021,1,1,1,1
https://openalex.org/A5001452511,2012,12,126,12,204
https://openalex.org/A5001452511,2013,15,173,15,319
https://openalex.org/A5001452511,2014,16,286,16,691
https://openalex.org/A5001452511,2015,20,534,20,1417
https://openalex.org/A5001452511,2016,39,932,39,2731
https://openalex.org/A5001452511,2017,28,1577,28,4576
https://openalex.org/A5001452511,2018,27,2379,27,6911
https://openalex.org/A5001452511,2019,28,3445,28,10471
https://openalex.org/A5001452511,2020,20,4656,22,15638
https://openalex.org/A5001452511,2021,27,6354,27,22320
