id,works_count,cited_by_count
https://openalex.org/A5072483851,90,902
https://openalex.org/A5018776762,72,75
https://openalex.org/A5080939810,61,358
https://openalex.org/A5029881549,35,93
https://openalex.org/A5050890719,33,82
https://openalex.org/A5055392524,21,811
https://openalex.org/A5066605933,20,3743
https://openalex.org/A5005139664,13,419
https://openalex.org/A5007325458,11,255
https://openalex.org/A5083619343,6,61
https://openalex.org/A5040048684,1,0
https://openalex.org/A5048537056,1292,52683
https://openalex.org/A5024796415,1084,101666
https://openalex.org/A5010280330,835,21966
https://openalex.org/A5044831604,778,47971
https://openalex.org/A5058668657,694,18209
https://openalex.org/A5060728967,531,25037
https://openalex.org/A5013717261,514,32589
https://openalex.org/A5001404405,486,38711
https://openalex.org/A5003763447,456,20248
https://openalex.org/A5075448909,398,5698
https://openalex.org/A5030179183,375,15266
https://openalex.org/A5051040257,335,14332
https://openalex.org/A5029555061,332,6155
https://openalex.org/A5088281276,325,6576
https://openalex.org/A5038840996,308,22496
https://openalex.org/A5025591501,303,55057
https://openalex.org/A5032626967,239,16253
https://openalex.org/A5018435277,232,2946
https://openalex.org/A5033943754,231,3307
https://openalex.org/A5053337121,220,18103
https://openalex.org/A5000987105,212,6961
https://openalex.org/A5055291135,195,1987
https://openalex.org/A5058842094,194,9470
https://openalex.org/A5089643645,174,2570
https://openalex.org/A5031080224,161,11042
https://openalex.org/A5078828797,160,3576
https://openalex.org/A5046961212,149,15153
https://openalex.org/A5033359958,120,1684
https://openalex.org/A5073062833,108,3105
https://openalex.org/A5009167852,102,3046
https://openalex.org/A5045404258,101,825
https://openalex.org/A5012400544,91,2610
https://openalex.org/A5010720107,86,1083
https://openalex.org/A5004130787,68,171
https://openalex.org/A5074252488,60,1243
https://openalex.org/A5028702123,53,1368
https://openalex.org/A5069952873,47,2234
https://openalex.org/A5014278313,43,3750
https://openalex.org/A5073295697,36,151
https://openalex.org/A5065336202,32,1005
https://openalex.org/A5057896619,31,453
https://openalex.org/A5036559735,26,260
https://openalex.org/A5066391173,20,713
https://openalex.org/A5039273743,16,241
https://openalex.org/A5090245224,16,7
https://openalex.org/A5091432640,14,2
https://openalex.org/A5051022449,13,13
https://openalex.org/A5061357437,11,254
https://openalex.org/A5040255793,2,254
https://openalex.org/A5009274983,1,44
https://openalex.org/A5062227574,1781,66312
https://openalex.org/A5076280888,1191,41764
https://openalex.org/A5017067756,737,20803
https://openalex.org/A5064045676,694,26411
https://openalex.org/A5063851108,678,58554
https://openalex.org/A5081768631,605,5685
https://openalex.org/A5064630364,540,7674
https://openalex.org/A5087788273,502,28694
https://openalex.org/A5033266759,493,30389
https://openalex.org/A5045274254,374,13376
https://openalex.org/A5016563134,371,11257
https://openalex.org/A5063636658,344,6256
https://openalex.org/A5075602267,320,2744
https://openalex.org/A5009512104,298,4037
https://openalex.org/A5069161180,288,22099
https://openalex.org/A5008697506,287,7590
https://openalex.org/A5011065457,269,1322
https://openalex.org/A5056800495,268,4663
https://openalex.org/A5059656064,244,6281
https://openalex.org/A5013219987,240,2255
https://openalex.org/A5070601129,217,1289
https://openalex.org/A5011400705,200,4836
https://openalex.org/A5059353412,198,8327
https://openalex.org/A5050156104,185,1000
https://openalex.org/A5021492975,171,4846
https://openalex.org/A5011054210,158,3650
https://openalex.org/A5076200267,154,1632
https://openalex.org/A5025696671,148,1438
https://openalex.org/A5016970525,145,4215
https://openalex.org/A5051515585,135,5222
https://openalex.org/A5085208309,108,4294
https://openalex.org/A5049037908,90,2403
https://openalex.org/A5008642673,83,4400
https://openalex.org/A5028296078,80,2567
https://openalex.org/A5003294215,68,1602
https://openalex.org/A5013116422,60,1449
https://openalex.org/A5060357436,51,820
https://openalex.org/A5087816699,50,714
https://openalex.org/A5007852301,48,1193
https://openalex.org/A5051992808,28,220
https://openalex.org/A5085781249,28,346
https://openalex.org/A5085342905,16,223
https://openalex.org/A5011954464,14,0
https://openalex.org/A5022281395,5,42
https://openalex.org/A5072719885,3,26
https://openalex.org/A5011092877,1,1
